league,team_name,team_name_map
International,Afghanistan,Afghanistan
International,Argentina,Argentina
International,Austria,Austria
International,Bahrain,Bahrain
International,Bangladesh,Bangladesh
Caribbean Premier League (CPL),Barbados,Barbados
International,Belgium,Belgium
International,Belize,Belize
International,Bermuda,Bermuda
International,Bhutan,Bhutan
International,Botswana,Botswana
International,Brazil,Brazil
International,Bulgaria,Bulgaria
International,Cambodia,Cambodia
International,Canada,Canada
International,Cayman Islands,Cayman Islands
International,Chile,Chile
International,China,China
International,Cook Islands,Cook Islands
International,Costa Rica,Costa Rica
International,Croatia,Croatia
International,Cyprus,Cyprus
International,Czech Republic,Czech Republic
International,Denmark,Denmark
International,Eswatini,Eswatini
International,Estonia,Estonia
International,Fiji,Fiji
International,Finland,Finland
International,France,France
International,Gambia,Gambia
International,Germany,Germany
International,Ghana,Ghana
International,Gibraltar,Gibraltar
International,Greece,Greece
International,Guernsey,Guernsey
International,Hong Kong,Hong Kong
International,Hungary,Hungary
International,Indonesia,Indonesia
International,Iran,Iran
International,Ireland,Ireland
International,Israel,Israel
International,Italy,Italy
Caribbean Premier League (CPL),Jamaica,Jamaica
International,Japan,Japan
International,Jersey,Jersey
International,Kenya,Kenya
International,Kuwait,Kuwait
International,Luxembourg,Luxembourg
International,Malaysia,Malaysia
International,Mali,Mali
International,Malta,Malta
International,Mexico,Mexico
International,Mongolia,Mongolia
International,Mozambique,Mozambique
International,Myanmar,Myanmar
International,Namibia,Namibia
International,Nepal,Nepal
International,Netherlands,Netherlands
International,New Zealand,New Zealand
International,Nigeria,Nigeria
International,Norway,Norway
International,Oman,Oman
International,Pakistan,Pakistan
International,Panama,Panama
International,Papua New Guinea,Papua New Guinea
International,Philippines,Philippines
International,Portugal,Portugal
International,Qatar,Qatar
International,Romania,Romania
International,Rwanda,Rwanda
International,Samoa,Samoa
International,Saudi Arabia,Saudi Arabia
International,Scotland,Scotland
International,Seychelles,Seychelles
International,Sierra Leone,Sierra Leone
International,Singapore,Singapore
International,Slovenia,Slovenia
International,South Africa,South Africa
International,South Korea,South Korea
International,Spain,Spain
International,Sri Lanka,Sri Lanka
International,St Helena,St Helena
International,Suriname,Suriname
International,Swaziland,Swaziland
International,Sweden,Sweden
International,Switzerland,Switzerland
International,Tanzania,Tanzania
International,Thailand,Thailand
Caribbean Premier League (CPL),Trinidad and Tobago,Trinidad and Tobago
International,Turkey,Turkey
International,Uganda,Uganda
International,United Arab Emirates,United Arab Emirates
International,United States of America,United States of America
International,Vanuatu,Vanuatu
International,West Indies,West Indies
International,Zambia,Zambia
International,Zimbabwe,Zimbabwe
Indian Premier League (IPL),Chennai Super Kings,Chennai Super Kings
Indian Premier League (IPL),Delhi Capitals,Delhi Capitals
Indian Premier League (IPL),Gujarat Titans,Gujarat Titans
Indian Premier League (IPL),Kolkata Knight Riders,Kolkata Knight Riders
Indian Premier League (IPL),Lucknow Super Giants,Lucknow Super Giants
Indian Premier League (IPL),Mumbai Indians,Mumbai Indians
Indian Premier League (IPL),Punjab Kings,Punjab Kings
Indian Premier League (IPL),Rajasthan Royals,Rajasthan Royals
Indian Premier League (IPL),Royal Challengers Bangalore,Royal Challengers Bangalore
Indian Premier League (IPL),Sunrisers Hyderabad,Sunrisers Hyderabad
Indian Premier League (IPL),Rising Pune Supergiant,Rising Pune Supergiant
Indian Premier League (IPL),Deccan Chargers,Deccan Chargers
Indian Premier League (IPL),Kochi Tuskers Kerala,Kochi Tuskers Kerala
Big Bash League (BBL),Adelaide Strikers,Adelaide Strikers
Big Bash League (BBL),Brisbane Heat,Brisbane Heat
Big Bash League (BBL),Hobart Hurricanes,Hobart Hurricanes
Big Bash League (BBL),Melbourne Renegades,Melbourne Renegades
Big Bash League (BBL),Melbourne Stars,Melbourne Stars
Big Bash League (BBL),Perth Scorchers,Perth Scorchers
Big Bash League (BBL),Sydney Sixers,Sydney Sixers
Big Bash League (BBL),Sydney Thunder,Sydney Thunder
Pakistan Super League (PSL),Islamabad United,Islamabad United
Pakistan Super League (PSL),Karachi Kings,Karachi Kings
Pakistan Super League (PSL),Lahore Qalandars,Lahore Qalandars
Pakistan Super League (PSL),Multan Sultans,Multan Sultans
Pakistan Super League (PSL),Peshawar Zalmi,Peshawar Zalmi
Pakistan Super League (PSL),Quetta Gladiators,Quetta Gladiators
Caribbean Premier League (CPL),Barbados Royals,Barbados Royals
Caribbean Premier League (CPL),Guyana Amazon Warriors,Guyana Amazon Warriors
Caribbean Premier League (CPL),Jamaica Tallawahs,Jamaica Tallawahs
Caribbean Premier League (CPL),St Kitts and Nevis Patriots,St Kitts and Nevis Patriots
Caribbean Premier League (CPL),St Lucia Kings,St Lucia Kings
Caribbean Premier League (CPL),Trinbago Knight Riders,Trinbago Knight Riders
Bangladesh Premier League (BPL),Chattogram Challengers,Chattogram Challengers
Bangladesh Premier League (BPL),Comilla Victorians,Comilla Victorians
Bangladesh Premier League (BPL),Dhaka Dominators,Dhaka Dominators
Bangladesh Premier League (BPL),Fortune Barishal,Fortune Barishal
Bangladesh Premier League (BPL),Khulna Tigers,Khulna Tigers
Bangladesh Premier League (BPL),Rangpur Riders,Rangpur Riders
Bangladesh Premier League (BPL),Sylhet Strikers,Sylhet Strikers
Lanka Premier League (LPL),Colombo Stars,Colombo Stars
Lanka Premier League (LPL),Dambulla Aura,Dambulla Aura
Lanka Premier League (LPL),Galle Gladiators,Galle Gladiators
Lanka Premier League (LPL),Jaffna Kings,Jaffna Kings
Lanka Premier League (LPL),Kandy Falcons,Kandy Falcons
The Hundred (England),Birmingham Phoenix,Birmingham Phoenix
The Hundred (England),London Spirit,London Spirit
The Hundred (England),Manchester Originals,Manchester Originals
The Hundred (England),Northern Superchargers,Northern Superchargers
The Hundred (England),Oval Invincibles,Oval Invincibles
The Hundred (England),Southern Brave,Southern Brave
The Hundred (England),Trent Rockets,Trent Rockets
The Hundred (England),Welsh Fire,Welsh Fire
South African T20 Leagues,Durban's Super Giants,Durban's Super Giants
South African T20 Leagues,Joburg Super Kings,Joburg Super Kings
South African T20 Leagues,MI Cape Town,MI Cape Town
South African T20 Leagues,Paarl Royals,Paarl Royals
South African T20 Leagues,Pretoria Capitals,Pretoria Capitals
South African T20 Leagues,Sunrisers Eastern Cape,Sunrisers Eastern Cape
Major League Cricket (USA),Los Angeles Knight Riders,Los Angeles Knight Riders
Major League Cricket (USA),MI New York,MI New York
Major League Cricket (USA),San Francisco Unicorns,San Francisco Unicorns
Major League Cricket (USA),Seattle Orcas,Seattle Orcas
Major League Cricket (USA),Texas Super Kings,Texas Super Kings
Major League Cricket (USA),Washington Freedom,Washington Freedom
Domestic Indian Leagues,Uttarakhand,Uttarakhand
Bangladesh Premier League (BPL),Dhaka Dynamites,Dhaka Dynamites
Domestic Indian Leagues,Services,Services
Bangladesh Premier League (BPL),Sylhet Sixers,Sylhet Sixers
Domestic Indian Leagues,Chhattisgarh,Chhattisgarh
Domestic Indian Leagues,Assam,Assam
The Hundred (England),Lancashire Thunder,Lancashire Thunder
Big Bash League (BBL),Western Australia,Western Australia
Domestic Indian Leagues,Himachal Pradesh,Himachal Pradesh
International,Isle of Man,Isle of Man
Bangladesh Premier League (BPL),Rajshahi Royals,Rajshahi Royals
Women's T20 Challenge,Trailblazers,Trailblazers
The Hundred (England),Yorkshire,Yorkshire
Women's T20 Challenge,Supernovas,Supernovas
Domestic Indian Leagues,Hyderabad (India),Hyderabad (India)
Lanka Premier League (LPL),Galle Titans,Galle Titans
The Hundred (England),Durham,Durham
Lanka Premier League (LPL),B-Love Kandy,B-Love Kandy
Indian Premier League (IPL),Gujarat Lions,Gujarat Lions
The Hundred (England),Nottinghamshire,Nottinghamshire
Bangladesh Premier League (BPL),Durdanto Dhaka,Durdanto Dhaka
Domestic Indian Leagues,Baroda,Baroda
The Hundred (England),Sussex,Sussex
Bangladesh Premier League (BPL),Khulna Royal Bengals,Khulna Royal Bengals
International,Gulf Giants,Gulf Giants
Bangladesh Premier League (BPL),Dhaka Gladiators,Dhaka Gladiators
Bangladesh Premier League (BPL),Sylhet Thunder,Sylhet Thunder
Indian Premier League (IPL),Gujarat Giants,Gujarat Giants
Big Bash League (BBL),New South Wales,New South Wales
Domestic Indian Leagues,Tripura,Tripura
International,Malawi,Malawi
Bangladesh Premier League (BPL),Barisal Bulls,Barisal Bulls
Domestic Indian Leagues,Odisha,Odisha
Women's T20 Challenge,Velocity,Velocity
International,Desert Vipers,Desert Vipers
The Hundred (England),Thunder,Thunder
Caribbean Premier League (CPL),Barbados Tridents,Barbados Tridents
South African T20 Leagues,Lions,Lions
The Hundred (England),Hampshire,Hampshire
The Hundred (England),Barmy Army,Barmy Army
The Hundred (England),Northern Diamonds,Northern Diamonds
South African T20 Leagues,Jozi Stars,Jozi Stars
The Hundred (England),Warriors (FairBreak),Warriors (FairBreak)
The Hundred (England),Northamptonshire,Northamptonshire
Bangladesh Premier League (BPL),Rangpur Rangers,Rangpur Rangers
International,Central Stags,Central Stags
South African T20 Leagues,Paarl Rocks,Paarl Rocks
Bangladesh Premier League (BPL),Chittagong Vikings,Chittagong Vikings
International,MI Emirates,MI Emirates
International,Auckland Aces,Auckland Aces
The Hundred (England),Western Storm,Western Storm
International,Northern Districts,Northern Districts
Domestic Indian Leagues,Sikkim,Sikkim
South African T20 Leagues,Dolphins,Dolphins
International,Auckland,Auckland
Caribbean Premier League (CPL),St Lucia Zouks,St Lucia Zouks
International,Wellington Firebirds,Wellington Firebirds
Lanka Premier League (LPL),Galle Marvels,Galle Marvels
Pakistan Super League (PSL),Kabul Zwanan,Kabul Zwanan
International,Bahamas,Bahamas
Caribbean Premier League (CPL),Antigua Hawksbills,Antigua Hawksbills
Caribbean Premier League (CPL),Trinidad & Tobago Red Steel,Trinidad & Tobago Red Steel
Domestic Indian Leagues,Nagaland,Nagaland
International,Otago,Otago
The Hundred (England),Kent,Kent
International,Serbia,Serbia
South African T20 Leagues,Cape Town Blitz,Cape Town Blitz
The Hundred (England),Glamorgan,Glamorgan
International,Lesotho,Lesotho
Domestic Indian Leagues,Railways,Railways
Pakistan Super League (PSL),Nangarhar Leopards,Nangarhar Leopards
International,England,England
Lanka Premier League (LPL),Dambulla Giants,Dambulla Giants
International,Sharjah Warriors,Sharjah Warriors
Domestic Indian Leagues,Jharkhand,Jharkhand
Domestic Indian Leagues,Tamil Nadu,Tamil Nadu
Domestic Indian Leagues,Rajasthan,Rajasthan
Domestic Indian Leagues,Madhya Pradesh,Madhya Pradesh
The Hundred (England),Middlesex,Middlesex
The Hundred (England),Southern Vipers,Southern Vipers
The Hundred (England),Worcestershire,Worcestershire
Big Bash League (BBL),Queensland,Queensland
International,Dubai Capitals,Dubai Capitals
South African T20 Leagues,Falcons,Falcons
South African T20 Leagues,Knights,Knights
Caribbean Premier League (CPL),Antigua and Barbuda Falcons,Antigua and Barbuda Falcons
The Hundred (England),Leicestershire,Leicestershire
Domestic Indian Leagues,Gujarat,Gujarat
Domestic Indian Leagues,Saurashtra,Saurashtra
International,Leinster Lightning,Leinster Lightning
Domestic Indian Leagues,Uttar Pradesh,Uttar Pradesh
The Hundred (England),Warwickshire,Warwickshire
The Hundred (England),Central Sparks,Central Sparks
Bangladesh Premier League (BPL),Cumilla Warriors,Cumilla Warriors
Domestic Indian Leagues,Karnataka,Karnataka
South African T20 Leagues,Nelson Mandela Bay Giants,Nelson Mandela Bay Giants
Domestic Indian Leagues,Andhra,Andhra
Domestic Indian Leagues,Vidarbha,Vidarbha
Bangladesh Premier League (BPL),Duronto Rajshahi,Duronto Rajshahi
International,Africa XI,Africa XI
Domestic Indian Leagues,Puducherry,Puducherry
Domestic Indian Leagues,Maharashtra,Maharashtra
Domestic Indian Leagues,Mizoram,Mizoram
The Hundred (England),Lancashire,Lancashire
South African T20 Leagues,Warriors,Warriors
Pakistan Super League (PSL),Balkh Legends,Balkh Legends
Bangladesh Premier League (BPL),Barisal Burners,Barisal Burners
Caribbean Premier League (CPL),Windward Islands,Windward Islands
Bangladesh Premier League (BPL),Dhaka Platoon,Dhaka Platoon
The Hundred (England),Lightning,Lightning
The Hundred (England),Loughborough Lightning,Loughborough Lightning
Bangladesh Premier League (BPL),Khulna Titans,Khulna Titans
The Hundred (England),Somerset,Somerset
Lanka Premier League (LPL),Kandy Tuskers,Kandy Tuskers
The Hundred (England),Sunrisers,Sunrisers
The Hundred (England),Derbyshire,Derbyshire
International,Asia XI,Asia XI
International,Wellington,Wellington
Domestic Indian Leagues,Meghalaya,Meghalaya
Domestic Indian Leagues,Kerala,Kerala
Indian Premier League (IPL),Kings XI Punjab,Kings XI Punjab
International,Otago Volts,Otago Volts
Bangladesh Premier League (BPL),Sylhet Royals,Sylhet Royals
Domestic Indian Leagues,Punjab,Punjab
Bangladesh Premier League (BPL),Minister Group Dhaka,Minister Group Dhaka
International,Abu Dhabi Knight Riders,Abu Dhabi Knight Riders
Big Bash League (BBL),Tasmania,Tasmania
The Hundred (England),Sapphires,Sapphires
The Hundred (England),Spirit,Spirit
Indian Premier League (IPL),Rising Pune Supergiants,Rising Pune Supergiants
The Hundred (England),Yorkshire Diamonds,Yorkshire Diamonds
Domestic Indian Leagues,Haryana,Haryana
Indian Premier League (IPL),UP Warriorz,UP Warriorz
Lanka Premier League (LPL),Jaffna Stallions,Jaffna Stallions
Lanka Premier League (LPL),Dambulla Viiking,Dambulla Viiking
Lanka Premier League (LPL),Dambulla Sixers,Dambulla Sixers
International,Northern Knights,Northern Knights
Domestic Indian Leagues,Goa,Goa
The Hundred (England),Gloucestershire,Gloucestershire
The Hundred (England),Birmingham Bears,Birmingham Bears
Domestic Indian Leagues,Bihar,Bihar
Caribbean Premier League (CPL),St Lucia Stars,St Lucia Stars
International,ICC World XI,ICC World XI
South African T20 Leagues,Boland,Boland
Pakistan Super League (PSL),Kandahar Knights,Kandahar Knights
Big Bash League (BBL),South Australia,South Australia
Indian Premier League (IPL),Delhi Daredevils,Delhi Daredevils
Domestic Indian Leagues,Jammu & Kashmir,Jammu & Kashmir
South African T20 Leagues,Titans,Titans
Lanka Premier League (LPL),Colombo Strikers,Colombo Strikers
Domestic Indian Leagues,Manipur,Manipur
Bangladesh Premier League (BPL),Chittagong Kings,Chittagong Kings
The Hundred (England),Essex,Essex
South African T20 Leagues,KwaZulu-Natal Inland,KwaZulu-Natal Inland
International,Maldives,Maldives
South African T20 Leagues,Western Province,Western Province
Caribbean Premier League (CPL),Guyana,Guyana
Domestic Indian Leagues,Arunachal Pradesh,Arunachal Pradesh
International,India,India
Domestic Indian Leagues,Himachal,Himachal
South African T20 Leagues,Impi,Impi
Caribbean Premier League (CPL),Leeward Islands,Leeward Islands
Bangladesh Premier League (BPL),Sylhet Sunrisers,Sylhet Sunrisers
Bangladesh Premier League (BPL),Rajshahi Kings,Rajshahi Kings
International,Australia,Australia
South African T20 Leagues,North West,North West
South African T20 Leagues,Cape Cobras,Cape Cobras
Domestic Indian Leagues,Delhi,Delhi
Lanka Premier League (LPL),Kandy Warriors,Kandy Warriors
Pakistan Super League (PSL),Paktia Panthers,Paktia Panthers
International,Munster Reds,Munster Reds
Big Bash League (BBL),Victoria,Victoria
International,North-West Warriors,North-West Warriors
South African T20 Leagues,Durban Heat,Durban Heat
The Hundred (England),Surrey,Surrey
South African T20 Leagues,Tornadoes,Tornadoes
Lanka Premier League (LPL),Colombo Kings,Colombo Kings
International,Cameroon,Cameroon
Bangladesh Premier League (BPL),Sylhet Super Stars,Sylhet Super Stars
International,Canterbury,Canterbury
South African T20 Leagues,Tshwane Spartans,Tshwane Spartans
Domestic Indian Leagues,Bengal,Bengal
The Hundred (England),The Blaze,The Blaze
Domestic Indian Leagues,Chandigarh,Chandigarh
The Hundred (England),South East Stars,South East Stars
International,Central Districts,Central Districts
Domestic Indian Leagues,Mumbai,Mumbai
The Hundred (England),Surrey Stars,Surrey Stars
Indian Premier League (IPL),Pune Warriors,Pune Warriors
Bangladesh Premier League (BPL),Durbar Rajshahi,Duronto Rajshahi
Indian Premier League (IPL),Royal Challengers Bengaluru,Royal Challengers Bangalore
International,Sharjah Warriorz,Sharjah Warriors